epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.637,0.8732,3.36207,0.99403,0.00543,1,0.476,0.30849,0.61846,3.65112,0.70442,0.00035552,0.00035552,0.00035552
2,290.921,0.65385,1.43298,0.9047,0.0044,0.85676,0.7211,0.64982,0.40524,3.06028,0.66434,0.000715001,0.000715001,0.000715001
3,429.108,0.56463,1.04869,0.88705,0.99872,0.62125,0.995,0.93,0.41556,1.9972,0.64617,0.00106722,0.00106722,0.00106722
4,582.835,0.53039,0.97841,0.85942,0.96533,0.99174,0.99458,0.96553,0.3572,0.82998,0.64167,0.001078,0.001078,0.001078
5,725.749,0.47683,0.8503,0.84782,0.99581,1,0.995,0.93844,0.37793,0.58299,0.65669,0.001067,0.001067,0.001067
6,879.887,0.47767,0.77478,0.8538,0.99097,0.99947,0.995,0.93688,0.3084,0.62149,0.66073,0.00105601,0.00105601,0.00105601
7,1025.09,0.42481,0.70544,0.83684,0.99304,1,0.995,0.9622,0.26906,0.51429,0.6527,0.00104501,0.00104501,0.00104501
8,1165.07,0.40615,0.62935,0.82693,0.99696,1,0.995,0.91844,0.40198,0.49745,0.68022,0.00103401,0.00103401,0.00103401
9,1301.37,0.40213,0.60404,0.82983,0.99675,1,0.995,0.97339,0.28712,0.37762,0.65191,0.00102301,0.00102301,0.00102301
10,1438.47,0.37549,0.56721,0.83288,0.99737,1,0.995,0.96868,0.29193,0.43381,0.6804,0.00101201,0.00101201,0.00101201
11,1575.33,0.37628,0.52393,0.82552,0.99534,1,0.995,0.99226,0.20338,0.32352,0.66511,0.00100101,0.00100101,0.00100101
12,1713.9,0.34876,0.47791,0.817,0.99677,1,0.995,0.99318,0.21394,0.3585,0.65167,0.000990012,0.000990012,0.000990012
13,1850.39,0.33843,0.46349,0.81673,0.99722,1,0.995,0.97837,0.20889,0.32427,0.64402,0.000979013,0.000979013,0.000979013
14,1986.59,0.33674,0.46499,0.81747,0.99264,1,0.995,0.95474,0.32138,0.35054,0.67551,0.000968014,0.000968014,0.000968014
15,2123.29,0.33222,0.4586,0.81613,0.99759,1,0.995,0.99308,0.19541,0.29968,0.6611,0.000957015,0.000957015,0.000957015
16,2261.03,0.31866,0.42631,0.81023,0.99732,1,0.995,0.98364,0.19201,0.29505,0.65801,0.000946016,0.000946016,0.000946016
17,2396.73,0.33076,0.40654,0.81564,0.99738,1,0.995,0.99185,0.2213,0.29995,0.66838,0.000935018,0.000935018,0.000935018
18,2535.39,0.31547,0.38515,0.8094,0.99669,1,0.995,0.99147,0.21374,0.30539,0.65396,0.000924019,0.000924019,0.000924019
19,2678.5,0.31177,0.3793,0.80255,0.99791,1,0.995,0.995,0.19868,0.27038,0.65319,0.00091302,0.00091302,0.00091302
20,2816.33,0.30825,0.36809,0.81995,0.99753,1,0.995,0.99251,0.21066,0.2607,0.64461,0.000902021,0.000902021,0.000902021
21,2954.29,0.29094,0.35059,0.80794,0.99705,1,0.995,0.98918,0.21023,0.2719,0.65706,0.000891022,0.000891022,0.000891022
22,3094.03,0.27876,0.34529,0.80315,0.99781,1,0.995,0.98803,0.21315,0.27149,0.67216,0.000880023,0.000880023,0.000880023
23,3232.27,0.28852,0.34279,0.79894,0.99719,1,0.995,0.99372,0.17238,0.22634,0.6712,0.000869024,0.000869024,0.000869024
24,3374.94,0.29552,0.33785,0.80207,0.9966,1,0.995,0.99367,0.15963,0.2293,0.67387,0.000858025,0.000858025,0.000858025
25,3514.85,0.28248,0.32987,0.80271,0.99735,1,0.995,0.9777,0.28185,0.2484,0.69637,0.000847026,0.000847026,0.000847026
26,3657.8,0.27158,0.31324,0.80795,0.99765,1,0.995,0.99108,0.18731,0.22883,0.67052,0.000836027,0.000836027,0.000836027
27,3806.38,0.25177,0.29505,0.80077,0.99696,1,0.995,0.99044,0.19246,0.21516,0.67069,0.000825029,0.000825029,0.000825029
28,3950.69,0.26154,0.30822,0.80414,0.99722,1,0.995,0.99183,0.20259,0.24892,0.67294,0.00081403,0.00081403,0.00081403
29,4087.17,0.25358,0.30713,0.79968,0.99654,1,0.995,0.99439,0.16797,0.22258,0.67099,0.000803031,0.000803031,0.000803031
30,4223.97,0.25607,0.30494,0.80012,0.99768,1,0.995,0.99438,0.16158,0.20232,0.65684,0.000792032,0.000792032,0.000792032
31,4361.67,0.25468,0.30193,0.79486,0.99745,1,0.995,0.995,0.13609,0.20832,0.66001,0.000781033,0.000781033,0.000781033
32,4498.8,0.2437,0.27667,0.80132,0.99773,1,0.995,0.9933,0.15803,0.21527,0.66811,0.000770034,0.000770034,0.000770034
33,4635.63,0.23963,0.27367,0.78702,0.99761,1,0.995,0.995,0.18526,0.23197,0.6528,0.000759035,0.000759035,0.000759035
34,4772.49,0.23886,0.27514,0.80507,0.99684,1,0.995,0.99171,0.17266,0.22967,0.66519,0.000748036,0.000748036,0.000748036
35,4908.91,0.22442,0.26341,0.79299,0.99742,1,0.995,0.99426,0.1406,0.22252,0.66642,0.000737037,0.000737037,0.000737037
36,5046.08,0.23209,0.27306,0.79941,0.9978,1,0.995,0.995,0.14752,0.23385,0.67166,0.000726038,0.000726038,0.000726038
37,5184.7,0.23847,0.26459,0.79133,0.99753,1,0.995,0.99335,0.13498,0.20082,0.6793,0.00071504,0.00071504,0.00071504
38,5321.62,0.22008,0.25672,0.78962,0.99776,1,0.995,0.99446,0.15204,0.21282,0.67762,0.000704041,0.000704041,0.000704041
39,5458.83,0.21895,0.2483,0.7942,0.99731,1,0.995,0.995,0.1446,0.22206,0.65986,0.000693042,0.000693042,0.000693042
40,5595.27,0.2267,0.25893,0.79687,0.99777,1,0.995,0.99127,0.15856,0.24603,0.66768,0.000682043,0.000682043,0.000682043
41,5731.04,0.22303,0.24901,0.80059,0.99744,1,0.995,0.99288,0.17275,0.23263,0.67291,0.000671044,0.000671044,0.000671044
42,5867.67,0.21764,0.24626,0.79046,0.99745,1,0.995,0.995,0.12477,0.18723,0.67885,0.000660045,0.000660045,0.000660045
43,6004.38,0.21079,0.24212,0.79771,0.99762,1,0.995,0.99443,0.12498,0.2034,0.6693,0.000649046,0.000649046,0.000649046
44,6143.74,0.22495,0.25009,0.79179,0.99784,1,0.995,0.99439,0.13348,0.20957,0.67614,0.000638047,0.000638047,0.000638047
45,6279.59,0.21553,0.24469,0.78672,0.99792,1,0.995,0.995,0.12545,0.1742,0.68072,0.000627048,0.000627048,0.000627048
46,6415.53,0.19983,0.23618,0.79133,0.9977,1,0.995,0.99451,0.14932,0.17371,0.69094,0.000616049,0.000616049,0.000616049
47,6551.83,0.19903,0.22917,0.78934,0.99748,1,0.995,0.99445,0.11832,0.17027,0.68565,0.000605051,0.000605051,0.000605051
48,6687.39,0.19464,0.22614,0.79004,0.99787,1,0.995,0.995,0.11819,0.18805,0.68171,0.000594052,0.000594052,0.000594052
49,6824.31,0.19751,0.22702,0.79076,0.99779,1,0.995,0.995,0.11982,0.15649,0.67263,0.000583053,0.000583053,0.000583053
50,6961.49,0.19466,0.22622,0.78712,0.99757,1,0.995,0.995,0.10344,0.16281,0.67233,0.000572054,0.000572054,0.000572054
51,7099.48,0.18687,0.21523,0.786,0.99779,1,0.995,0.99448,0.11307,0.19022,0.68355,0.000561055,0.000561055,0.000561055
52,7237.23,0.18714,0.21613,0.77971,0.99803,1,0.995,0.995,0.11451,0.16681,0.66689,0.000550056,0.000550056,0.000550056
53,7373.57,0.19322,0.2234,0.78553,0.99808,1,0.995,0.995,0.11955,0.15645,0.66762,0.000539057,0.000539057,0.000539057
54,7509.38,0.18271,0.21421,0.79246,0.9981,1,0.995,0.995,0.13945,0.16957,0.66377,0.000528058,0.000528058,0.000528058
55,7644.98,0.17956,0.21511,0.78958,0.99768,1,0.995,0.995,0.10724,0.16867,0.66776,0.000517059,0.000517059,0.000517059
56,7779.87,0.18539,0.20779,0.78519,0.99777,1,0.995,0.995,0.11246,0.16164,0.68471,0.00050606,0.00050606,0.00050606
57,7915.27,0.16971,0.20344,0.79218,0.99771,1,0.995,0.995,0.12148,0.16822,0.67871,0.000495062,0.000495062,0.000495062
58,8052.63,0.17385,0.20625,0.78848,0.99798,1,0.995,0.995,0.11762,0.15223,0.65958,0.000484063,0.000484063,0.000484063
59,8188.42,0.17812,0.21503,0.78291,0.99782,1,0.995,0.995,0.1382,0.17311,0.66853,0.000473064,0.000473064,0.000473064
60,8324,0.17611,0.20835,0.78325,0.99809,1,0.995,0.995,0.10026,0.14246,0.66457,0.000462065,0.000462065,0.000462065
61,8459.26,0.16295,0.19531,0.78763,0.998,1,0.995,0.995,0.10327,0.17178,0.6627,0.000451066,0.000451066,0.000451066
62,8595.48,0.1705,0.20074,0.79128,0.99804,1,0.995,0.995,0.11159,0.16286,0.65526,0.000440067,0.000440067,0.000440067
63,8732.43,0.17681,0.19707,0.78724,0.99782,1,0.995,0.995,0.12107,0.15339,0.65986,0.000429068,0.000429068,0.000429068
64,8868.86,0.17618,0.19999,0.78291,0.99797,1,0.995,0.995,0.09059,0.14424,0.65923,0.000418069,0.000418069,0.000418069
65,9005.37,0.16286,0.19049,0.77536,0.99762,1,0.995,0.995,0.09361,0.14605,0.65414,0.00040707,0.00040707,0.00040707
66,9142.32,0.16396,0.19257,0.78155,0.99778,1,0.995,0.995,0.10281,0.14212,0.66267,0.000396071,0.000396071,0.000396071
67,9279.16,0.16243,0.19019,0.78973,0.99766,1,0.995,0.995,0.099,0.14608,0.6548,0.000385073,0.000385073,0.000385073
68,9415.46,0.15906,0.18573,0.78195,0.99739,1,0.995,0.995,0.11247,0.16552,0.65552,0.000374074,0.000374074,0.000374074
69,9551.51,0.15455,0.1826,0.78691,0.99831,1,0.995,0.995,0.08512,0.15493,0.66845,0.000363075,0.000363075,0.000363075
70,9688.59,0.15851,0.17971,0.78499,0.99841,1,0.995,0.995,0.10621,0.16309,0.67825,0.000352076,0.000352076,0.000352076
71,9825.22,0.16468,0.18633,0.78746,0.99789,1,0.995,0.995,0.08999,0.13774,0.67855,0.000341077,0.000341077,0.000341077
72,9962.87,0.15559,0.18007,0.78494,0.9979,1,0.995,0.995,0.09356,0.1516,0.67815,0.000330078,0.000330078,0.000330078
73,10099.4,0.1478,0.17529,0.77931,0.9979,1,0.995,0.995,0.08906,0.15232,0.66803,0.000319079,0.000319079,0.000319079
74,10235.5,0.16016,0.17831,0.78818,0.99784,1,0.995,0.995,0.09419,0.14855,0.66026,0.00030808,0.00030808,0.00030808
75,10370.4,0.15477,0.17707,0.78085,0.99787,1,0.995,0.995,0.07979,0.12584,0.67319,0.000297081,0.000297081,0.000297081
76,10504.6,0.1546,0.17733,0.78046,0.9984,1,0.995,0.995,0.08894,0.16348,0.67607,0.000286083,0.000286083,0.000286083
77,10639.7,0.15181,0.17223,0.78413,0.99808,1,0.995,0.995,0.08515,0.14163,0.67568,0.000275084,0.000275084,0.000275084
78,10775.6,0.1494,0.16934,0.78179,0.9979,1,0.995,0.995,0.09149,0.14329,0.66908,0.000264085,0.000264085,0.000264085
79,10911.3,0.13456,0.16182,0.77249,0.99836,1,0.995,0.995,0.08957,0.13785,0.67119,0.000253086,0.000253086,0.000253086
80,11046.1,0.13734,0.16428,0.78188,0.99846,1,0.995,0.995,0.08044,0.13307,0.66225,0.000242087,0.000242087,0.000242087
81,11182.1,0.13927,0.16132,0.78335,0.99788,1,0.995,0.995,0.09229,0.13427,0.66995,0.000231088,0.000231088,0.000231088
82,11317.2,0.14138,0.16552,0.78659,0.9984,1,0.995,0.995,0.0727,0.12544,0.67289,0.000220089,0.000220089,0.000220089
83,11452.8,0.13234,0.15768,0.77889,0.99849,1,0.995,0.995,0.07703,0.13191,0.66851,0.00020909,0.00020909,0.00020909
84,11588.7,0.12944,0.1532,0.7863,0.9984,1,0.995,0.995,0.08961,0.12349,0.67217,0.000198091,0.000198091,0.000198091
85,11726.5,0.13399,0.15895,0.78802,0.998,1,0.995,0.995,0.07348,0.11956,0.66962,0.000187092,0.000187092,0.000187092
86,11862.9,0.13231,0.15636,0.77731,0.99808,1,0.995,0.995,0.08476,0.12123,0.67298,0.000176094,0.000176094,0.000176094
87,11998.7,0.1364,0.16214,0.7764,0.99816,1,0.995,0.995,0.08248,0.11195,0.67796,0.000165095,0.000165095,0.000165095
88,12135.8,0.13281,0.15502,0.77195,0.99851,1,0.995,0.995,0.06856,0.11626,0.67121,0.000154096,0.000154096,0.000154096
89,12271.5,0.13931,0.16083,0.7793,0.99844,1,0.995,0.995,0.07674,0.12025,0.67322,0.000143097,0.000143097,0.000143097
90,12407.6,0.12719,0.14979,0.7775,0.99848,1,0.995,0.995,0.07187,0.11759,0.66862,0.000132098,0.000132098,0.000132098
91,12542.9,0.11984,0.14149,0.77008,0.99844,1,0.995,0.995,0.07414,0.12405,0.67287,0.000121099,0.000121099,0.000121099
92,12678.8,0.1149,0.13681,0.77045,0.99842,1,0.995,0.995,0.07322,0.10757,0.6742,0.0001101,0.0001101,0.0001101
93,12812.8,0.10945,0.13542,0.76184,0.9984,1,0.995,0.995,0.07405,0.11799,0.67607,9.91012e-05,9.91012e-05,9.91012e-05
94,12947.6,0.1133,0.13256,0.76258,0.99846,1,0.995,0.995,0.07426,0.12398,0.67254,8.81023e-05,8.81023e-05,8.81023e-05
95,13082.2,0.10882,0.13778,0.77184,0.99797,1,0.995,0.995,0.08362,0.11634,0.67299,7.71034e-05,7.71034e-05,7.71034e-05
96,13216.4,0.10414,0.13049,0.76898,0.99845,1,0.995,0.995,0.07971,0.11229,0.66952,6.61045e-05,6.61045e-05,6.61045e-05
97,13352.1,0.10154,0.12377,0.76636,0.99908,1,0.995,0.995,0.07136,0.10395,0.67247,5.51056e-05,5.51056e-05,5.51056e-05
98,13487.8,0.09853,0.12695,0.76334,0.99843,1,0.995,0.995,0.06908,0.10341,0.67575,4.41067e-05,4.41067e-05,4.41067e-05
99,13623.7,0.09522,0.12372,0.76415,0.9995,1,0.995,0.995,0.06836,0.10056,0.67629,3.31078e-05,3.31078e-05,3.31078e-05
100,13757.4,0.09438,0.11927,0.77011,0.99883,1,0.995,0.995,0.06905,0.1048,0.67642,2.21089e-05,2.21089e-05,2.21089e-05
